                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0238,                 6.6177,                0.71754,                  3.261,                 2.0624,                 0.0067,                      1,                0.52676,                0.07012,                      0,                      0,                      0,                      0,                 1.7995,                 7.8183,                0.68207,                 2.8106,                 2.2759,                      0,                      0,                      0
                      2,                 2.3296,                 6.3112,                 0.7188,                 3.4375,                 2.3072,                0.00673,                      1,                0.53067,                0.07253,                      0,                      0,                      0,                      0,                 1.8529,                 7.8163,                0.68163,                 2.8353,                 2.3002,              1.667e-05,              1.667e-05,              1.667e-05
                      3,                  2.179,                 6.7668,                0.72043,                 3.3271,                 2.1772,                 0.0067,                      1,                0.53577,                0.07407,                      0,                      0,                      0,                      0,                 1.8829,                 7.8144,                0.68123,                 2.8447,                 2.3148,             3.3337e-05,             3.3337e-05,             3.3337e-05
                      4,                 1.8704,                 6.5971,                0.73005,                 3.2591,                 1.9742,                0.00671,                      1,                0.53067,                0.07293,                      0,                      0,                      0,                      0,                 1.8835,                 7.8125,                0.68104,                 2.8511,                 2.3184,             5.0001e-05,             5.0001e-05,             5.0001e-05
                      5,                 1.5638,                 5.9975,                0.71216,                 3.4437,                 1.8459,                0.00673,                      1,                0.53577,                0.07313,                      0,                      0,                      0,                      0,                 1.8251,                 7.9414,                0.68116,                 2.8968,                 2.2722,             6.6659e-05,             6.6659e-05,             6.6659e-05
                      6,                 1.9739,                 7.7241,                0.73051,                 3.3179,                 2.0028,                0.00681,                      1,                0.74625,                  0.199,                0.00391,                    0.5,                0.02261,                0.00226,                 1.8147,                 7.9508,                0.68095,                 2.6155,                 2.2381,             8.3308e-05,             8.3308e-05,             8.3308e-05
                      7,                 1.6927,                 6.3171,                0.73148,                 3.1368,                 1.8798,                0.00691,                      1,                  0.995,                 0.4975,                 0.0041,                    0.5,                0.24875,                0.02488,                 1.7276,                 7.6691,                0.67854,                 2.3653,                  2.225,             9.9948e-05,             9.9948e-05,             9.9948e-05
                      8,                 1.5735,                 6.8402,                0.69473,                 2.9813,                  1.735,                0.00693,                      1,                  0.995,                 0.4975,                0.00413,                    0.5,                0.24875,                0.02488,                 1.7436,                 7.6665,                0.67823,                 2.3626,                 2.2373,             0.00011657,             0.00011657,             0.00011657
                      9,                 1.7538,                 6.6888,                0.70512,                 2.9089,                 1.9195,                0.29692,                      1,                  0.995,                  0.597,                      0,                      0,                      0,                      0,                 1.4376,                 7.2786,                0.67061,                 2.0417,                 1.9989,             0.00013319,             0.00013319,             0.00013319
                     10,                 1.6112,                 6.6004,                0.69961,                 2.8799,                  1.736,                0.77655,                    0.5,                  0.995,                  0.597,                      0,                      0,                      0,                      0,                  1.728,                 7.2655,                0.66403,                 1.8121,                 2.0666,             0.00014979,             0.00014979,             0.00014979
                     11,                 1.6291,                 6.9709,                0.69385,                 2.4607,                 1.7447,                0.87956,                    0.5,                  0.995,                0.45001,                      0,                      0,                      0,                      0,                 2.2061,                 7.2984,                0.66447,                 1.9651,                 2.3727,             0.00016636,             0.00016636,             0.00016636
                     12,                 1.4456,                 6.6501,                0.69062,                 2.3609,                  1.587,                0.43888,                      1,                  0.995,                0.27363,                      0,                      0,                      0,                      0,                 2.5914,                 7.3903,                0.66354,                 3.2578,                 2.6854,             0.00018292,             0.00018292,             0.00018292
                     13,                  1.528,                  6.578,                0.68135,                 2.0646,                 1.5923,                0.52328,                      1,                  0.995,                  0.398,                      0,                      0,                      0,                      0,                 2.4177,                 7.2223,                0.66107,                  5.377,                 2.6954,             0.00019946,             0.00019946,             0.00019946
                     14,                  1.366,                 6.4215,                0.67819,                 1.6648,                 1.4836,                0.48767,                      1,                  0.995,                0.44775,                      0,                      0,                      0,                      0,                 2.1097,                 7.1495,                0.66009,                 7.6311,                 2.5992,             0.00021597,             0.00021597,             0.00021597
                     15,                 1.4239,                 5.9184,                0.69483,                 2.5196,                 1.6255,                0.43932,                      1,                0.74625,                0.37312,                      0,                      0,                      0,                      0,                 1.6611,                 7.0435,                0.66356,                  4.354,                 2.3974,             0.00023246,             0.00023246,             0.00023246
                     16,                 1.5628,                 6.0376,                0.65922,                 1.7707,                 1.7255,                 0.3901,                      1,                0.74625,                0.37313,                      0,                      0,                      0,                      0,                 1.0351,                 7.0643,                0.66493,                 3.0593,                 1.8024,             0.00024892,             0.00024892,             0.00024892
