                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9075,                 4.5776,                 1.6796,                0.00333,                      1,                0.00626,                0.00379,                 1.3999,                 4.0438,                 1.4252,             0.00065079,             0.00065079,             0.00065079
                      2,                 1.9686,                 4.6978,                  1.716,                0.00333,                      1,                0.00554,                0.00386,                 1.0936,                 4.1196,                 1.4009,              0.0012914,              0.0012914,              0.0012914
                      3,                 1.8114,                 4.4018,                 1.5899,                0.00333,                      1,                0.00554,                0.00386,                 1.0936,                 4.1196,                 1.4009,              0.0019056,              0.0019056,              0.0019056
                      4,                 1.8815,                 4.6919,                 1.6753,                0.00333,                      1,                0.00453,                0.00358,                 1.1228,                  4.142,                  1.411,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7168,                  4.558,                 1.5579,                0.00333,                      1,                0.00484,                 0.0029,                 1.2604,                 4.4351,                 1.4746,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.7819,                 4.8428,                 1.6808,                0.00333,                      1,                0.00484,                 0.0029,                 1.2604,                 4.4351,                 1.4746,               0.001802,               0.001802,               0.001802
                      7,                 2.0078,                 5.1292,                 1.9946,                0.00333,                      1,                0.00484,                 0.0029,                 4.0812,                 22.136,                 3.5555,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1532,                 5.9062,                 1.9318,                0.00333,                      1,                0.00484,                 0.0029,                 4.6985,                 15.858,                 4.0852,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6691,                 4.9488,                 1.5998,                0.00333,                      1,                0.00484,                 0.0029,                 4.6985,                 15.858,                 4.0852,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8379,                 4.4244,                 1.9056,                0.00333,                      1,                0.00484,                 0.0029,                 2.7742,                 4.4737,                 2.9106,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8436,                 4.4813,                 1.8425,                0.00167,                    0.5,                0.00132,                0.00013,                 3.1091,                 4.4157,                 3.2847,               0.001604,               0.001604,               0.001604
                     12,                 1.6787,                 4.4907,                 1.6707,                0.00167,                    0.5,                0.00132,                0.00013,                 3.1091,                 4.4157,                 3.2847,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9798,                 4.1669,                 2.0393,                0.00167,                    0.5,                0.00215,                0.00101,                 1.9557,                 4.1601,                 2.7878,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7149,                 3.9258,                 1.7732,                0.00333,                      1,                0.01471,                0.00392,                 1.7455,                 3.6875,                 2.4735,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9176,                 4.2035,                 1.9106,                0.00333,                      1,                0.01471,                0.00392,                 1.7455,                 3.6875,                 2.4735,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5589,                 3.6741,                 1.7626,                0.55691,                    0.5,                  0.745,                0.27338,                 1.7022,                 3.1871,                 2.0872,               0.001406,               0.001406,               0.001406
                     17,                  1.515,                 3.8289,                 1.5959,                0.98614,                      1,                  0.995,                0.41288,                 1.8714,                 2.7959,                 2.0936,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6129,                 3.0426,                 1.7708,                0.98614,                      1,                  0.995,                0.41288,                 1.8714,                 2.7959,                 2.0936,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.4974,                 3.6735,                  1.546,                      1,                0.99207,                  0.995,                0.32121,                 1.9391,                 2.8785,                 2.1415,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.4959,                 3.5272,                 1.5525,                0.31471,                      1,                0.33167,                0.09342,                 2.1519,                 3.7231,                  2.172,              0.0012476,              0.0012476,              0.0012476
